##############################################################################################################################################
-vCenter LOG-: 2013-10-21 14:11:56.528	TEST CASE:  AddvSwitch
##############################################################################################################################################

-vCenter LOG-: 2013-10-21 14:11:56.539	NetworkOps Command Execution: AddvSwitch
===========================================================================================
-vCenter LOG-: 2013-10-21 14:11:56.588	Adding vSwitches to Host 10.24.7.89
-vCenter LOG-: 2013-10-21 14:11:56.604	Adding vSwitch: vS1
-vCenter LOG-: 2013-10-21 14:11:56.604	Enabling CDP for: vS1
-vCenter LOG-: 2013-10-21 14:11:57.027	Adding portGroup: pg11
-vCenter LOG-: 2013-10-21 14:11:58.541	Adding portGroup: pg12
-vCenter LOG-: 2013-10-21 14:12:10.75	Adding portGroup: pg13
-vCenter LOG-: 2013-10-21 14:12:11.193	Adding portGroup: pg14
-vCenter LOG-: 2013-10-21 14:12:12.695	Adding portGroup: pg15
-vCenter LOG-: 2013-10-21 14:12:24.918	Adding portGroup: pg16
-vCenter LOG-: 2013-10-21 14:12:25.371	Adding portGroup: pg17
-vCenter LOG-: 2013-10-21 14:12:26.82	Adding portGroup: pg18
-vCenter LOG-: 2013-10-21 14:12:39.094	Adding portGroup: pg19
-vCenter LOG-: 2013-10-21 14:12:39.522	Adding portGroup: pg20
-vCenter LOG-: 2013-10-21 14:12:40.973	Adding vSwitch: vS2
-vCenter LOG-: 2013-10-21 14:12:40.973	Enabling CDP for: vS2
-vCenter LOG-: 2013-10-21 14:12:54.267	Adding portGroup: pg21
-vCenter LOG-: 2013-10-21 14:12:54.719	Adding portGroup: pg22
-vCenter LOG-: 2013-10-21 14:12:56.539	Adding portGroup: pg23
-vCenter LOG-: 2013-10-21 14:13:09.654	Adding portGroup: pg24
-vCenter LOG-: 2013-10-21 14:13:10.134	Adding portGroup: pg25
-vCenter LOG-: 2013-10-21 14:13:11.709	Adding portGroup: pg26
-vCenter LOG-: 2013-10-21 14:13:25.013	Adding portGroup: pg27
-vCenter LOG-: 2013-10-21 14:13:25.51	Adding portGroup: pg28
-vCenter LOG-: 2013-10-21 14:13:27.119	Adding portGroup: pg29
-vCenter LOG-: 2013-10-21 14:13:39.437	Adding portGroup: pg30
-vCenter LOG-: 2013-10-21 14:13:39.931	Adding vSwitch: vS3
-vCenter LOG-: 2013-10-21 14:13:39.931	Enabling CDP for: vS3
-vCenter LOG-: 2013-10-21 14:13:41.509	Adding portGroup: pg31
-vCenter LOG-: 2013-10-21 14:13:54.032	Adding portGroup: pg32
-vCenter LOG-: 2013-10-21 14:13:54.558	Adding portGroup: pg33
-vCenter LOG-: 2013-10-21 14:13:56.272	Adding portGroup: pg34
-vCenter LOG-: 2013-10-21 14:14:08.623	Adding portGroup: pg35
-vCenter LOG-: 2013-10-21 14:14:09.061	Adding portGroup: pg36
-vCenter LOG-: 2013-10-21 14:14:10.845	Adding portGroup: pg37
-vCenter LOG-: 2013-10-21 14:14:23.278	Adding portGroup: pg38
-vCenter LOG-: 2013-10-21 14:14:24.84	Adding portGroup: pg39
-vCenter LOG-: 2013-10-21 14:14:25.537	Adding portGroup: pg40
-vCenter LOG-: 2013-10-21 14:14:26.984	Adding vSwitch: vS4
